time_ms,pwm,rpm 
20,0,0.00 
40,0,-14.71 
60,0,-132.38 
80,0,-132.38 
100,0,-132.38 
120,0,-117.67 
140,0,-132.38 
160,0,-102.96 
180,0,-102.96 
200,0,-117.67 
220,0,-117.67 
240,0,-102.96 
260,0,-102.96 
280,0,-102.96 
300,0,-102.96 
320,0,-88.25 
340,0,-88.25 
360,0,-88.25 
380,0,-88.25 
400,0,-88.25 
420,0,-88.25 
440,0,-73.54 
460,0,-73.54 
480,0,-73.54 
500,0,-73.54 
520,0,-58.84 
540,0,-73.54 
560,0,-58.84 
580,0,-58.84 
600,0,-58.84 
620,0,-44.13 
640,0,-58.84 
660,0,-44.13 
680,0,-44.13 
700,0,-44.13 
720,0,-29.42 
740,0,-44.13 
760,0,-29.42 
780,0,-29.42 
800,0,-29.42 
820,0,-29.42 
840,0,-29.42 
860,0,-14.71 
880,0,-14.71 
900,0,-14.71 
920,0,-14.71 
940,0,-14.71 
960,0,0.00 
980,0,0.00 
1000,0,0.00 
1020,255,0.00 
1040,255,0.00 
1060,255,-14.71 
1080,255,-44.13 
1100,255,-44.13 
1120,255,-58.84 
1140,255,-73.54 
1160,255,-88.25 
1180,255,-102.96 
1200,255,-102.96 
1220,255,-117.67 
1240,255,-132.38 
1260,255,-147.09 
1280,255,-147.09 
1300,255,-147.09 
1320,255,-176.51 
1340,255,-161.80 
1360,255,-191.21 
1380,255,-191.21 
1400,255,-191.21 
1420,255,-191.21 
1440,255,-191.21 
1460,255,-205.92 
1480,255,-220.63 
1500,255,-205.92 
1520,255,-220.63 
1540,255,-235.34 
1560,255,-235.34 
1580,255,-235.34 
1600,255,-220.63 
1620,255,-235.34 
1640,255,-235.34 
1660,255,-235.34 
1680,255,-235.34 
1700,255,-250.05 
1720,255,-250.05 
1740,255,-250.05 
1760,255,-250.05 
1780,255,-250.05 
1800,255,-264.76 
1820,255,-250.05 
1840,255,-264.76 
1860,255,-264.76 
1880,255,-264.76 
1900,255,-264.76 
1920,255,-264.76 
1940,255,-250.05 
1960,255,-264.76 
1980,255,-264.76 
2000,255,-279.47 
2020,255,-264.76 
2040,255,-264.76 
2060,255,-279.47 
2080,255,-264.76 
2100,255,-279.47 
2120,255,-279.47 
2140,255,-264.76 
2160,255,-279.47 
2180,255,-264.76 
2200,255,-279.47 
2220,255,-264.76 
2240,255,-279.47 
2260,255,-279.47 
2280,255,-264.76 
2300,255,-279.47 
2320,255,-264.76 
2340,255,-264.76 
2360,255,-279.47 
2380,255,-279.47 
2400,255,-264.76 
2420,255,-279.47 
2440,255,-279.47 
2460,255,-279.47 
2480,255,-279.47 
2500,255,-279.47 
2520,255,-279.47 
2540,255,-264.76 
2560,255,-279.47 
2580,255,-279.47 
2600,255,-279.47 
2620,255,-279.47 
2640,255,-264.76 
2660,255,-279.47 
2680,255,-279.47 
2700,255,-279.47 
2720,255,-279.47 
2740,255,-279.47 
2760,255,-279.47 
2780,255,-279.47 
2800,255,-279.47 
2820,255,-279.47 
2840,255,-279.47 
2860,255,-264.76 
2880,255,-264.76 
2900,255,-264.76 
2920,255,-294.18 
2940,255,-279.47 
2960,255,-264.76 
2980,255,-279.47 
3000,255,-279.47 
3020,-255,-279.47 
3040,-255,-279.47 
3060,-255,-191.21 
3080,-255,-191.21 
3100,-255,-132.38 
3120,-255,-73.54 
3140,-255,-29.42 
3160,-255,29.42 
3180,-255,29.42 
