time_ms,angle_deg,omega_deg_s,ax,ay,az,gx,gy,gz
3530,0.0165,1.5064,601,63,4125,-11,3,4
3540,0.0586,1.3845,628,162,4151,-13,6,1
3550,0.1057,1.3235,641,185,4151,-14,7,3
3560,0.1372,0.7747,657,151,4141,-23,7,4
3570,0.1658,0.5918,642,149,4129,-26,6,7
3580,0.1868,0.5918,623,123,4099,-26,6,5
3590,0.2064,0.4698,630,124,4116,-28,10,4
3600,0.2401,0.1649,632,187,4120,-33,10,9
3610,0.2592,-0.0790,628,147,4162,-37,8,6
3620,0.2798,-0.2009,621,155,4077,-39,9,6
3630,0.3029,-0.6277,628,182,4119,-46,11,7
3640,0.3221,-0.8716,652,179,4132,-50,12,10
3650,0.3244,-0.9326,650,121,4118,-51,17,9
3660,0.3233,-0.7497,634,103,4138,-48,15,9
3670,0.3286,-0.6887,651,124,4149,-47,17,8
3680,0.3313,-0.6887,662,115,4135,-47,22,8
3690,0.3335,-0.6277,612,111,4134,-46,24,8
3700,0.3348,-0.5058,615,104,4154,-44,20,5
3710,0.3396,-0.3229,626,111,4180,-41,18,8
3720,0.3346,-0.2009,588,70,4113,-39,16,6
3730,0.3287,0.3479,564,48,4160,-30,14,5
3740,0.3287,0.7747,582,53,4129,-23,3,2
3750,0.3347,1.1405,588,62,4130,-17,1,4
3760,0.3458,1.4454,563,70,4124,-12,-1,1
3770,0.3661,1.7503,588,93,4124,-7,-1,4
3780,0.3873,1.9942,641,89,4123,-3,-9,3
3790,0.4158,1.9942,657,117,4127,-3,-4,2
3800,0.4551,1.6893,648,170,4159,-8,-2,0
3810,0.5005,1.5064,675,199,4105,-11,-1,3
3820,0.5417,0.8966,649,213,4187,-21,1,3
3830,0.5727,0.5918,626,187,4129,-26,1,6
3840,0.5899,0.3479,629,148,4133,-30,5,6
3850,0.6097,-0.0180,644,172,4147,-36,4,6
3860,0.6235,-0.0180,598,152,4144,-36,3,6
3870,0.6324,-0.1399,639,139,4139,-38,5,7
3880,0.6534,-0.3229,657,190,4134,-41,2,5
3890,0.6741,-0.7497,682,205,4130,-48,6,6
3900,0.6894,-1.3595,637,210,4154,-58,7,9
3910,0.6895,-1.6034,628,164,4137,-62,9,11
3920,0.6769,-1.7863,622,125,4154,-65,10,12
3930,0.6601,-1.6643,651,105,4170,-63,7,9
3940,0.6422,-1.5424,629,96,4192,-61,12,9
3950,0.6260,-1.4204,668,95,4132,-59,13,12
3960,0.6125,-1.2985,644,99,4128,-57,19,7
3970,0.5985,-0.9936,646,86,4145,-52,15,9
3980,0.5852,-0.6277,638,75,4166,-46,15,11
3990,0.5738,-0.2619,598,68,4176,-40,14,4
4000,0.5684,-0.1399,631,84,4146,-38,11,6
4010,0.5681,0.2259,615,89,4143,-32,9,8
4020,0.5704,0.3479,639,94,4141,-30,10,6
4030,0.5759,0.6527,569,95,4136,-25,9,3
4040,0.5821,0.8357,640,92,4158,-22,11,7
4050,0.5975,0.9576,619,121,4151,-20,11,4
4060,0.6191,0.9576,639,144,4130,-20,12,5
4070,0.6353,0.8966,643,127,4087,-21,13,5
4080,0.6539,0.5918,641,149,4136,-26,9,6
4090,0.6656,0.5918,640,126,4156,-26,10,7
4100,0.6713,0.7137,612,101,4150,-24,11,6
4110,0.6869,0.7137,616,137,4150,-24,10,5
4120,0.7018,0.8357,633,131,4148,-22,9,3
4130,0.7231,0.5918,632,164,4146,-26,10,7
4140,0.7383,0.4698,631,147,4123,-28,10,5
4150,0.7451,0.2869,632,125,4143,-31,10,6
4160,0.7654,0.2259,627,177,4156,-32,10,6
4170,0.7867,0.0430,626,189,4165,-35,13,5
4180,0.8040,-0.2619,633,186,4149,-40,10,9
4190,0.8152,-0.4448,600,173,4178,-43,11,7
4200,0.8121,-0.6887,610,129,4137,-47,14,9
4210,0.8098,-0.6277,586,130,4147,-46,7,9
4220,0.7982,-0.6887,599,99,4179,-47,7,6
4230,0.7882,-0.6277,621,101,4153,-46,7,8
4240,0.7922,-0.5668,645,150,4175,-45,3,5
4250,0.7822,-0.6277,612,100,4128,-46,4,6
4260,0.7691,-0.4448,617,82,4145,-43,2,7
4270,0.7609,-0.1399,605,88,4149,-38,4,5
4280,0.7578,0.1040,639,97,4123,-34,6,4
4290,0.7521,0.3479,634,79,4159,-30,8,7
4300,0.7570,0.5918,603,108,4129,-26,8,5
4310,0.7545,1.0796,550,65,4184,-18,-3,4
4320,0.7388,2.1162,585,-20,4127,-1,-8,3
4330,0.7376,2.9698,693,1,4150,13,-4,1
4340,0.7498,3.7625,782,21,4112,26,6,0
4350,0.7618,4.6162,731,-9,4126,40,20,0
4360,0.7868,5.4088,647,11,4136,53,25,-1
4370,0.8184,6.3845,554,2,4165,69,21,-4
4380,0.8542,7.2991,542,-13,4128,84,11,-4
4390,0.9041,8.2747,577,6,4151,100,2,-5
