time_ms,phase,angle_deg,omega_deg_s,pwm,ax,ay,az,gx,gy,gz
3542,0,0.0352,1.3192,0,652,115,4128,-18,12,5
3552,0,0.1065,1.5021,0,622,242,4141,-15,8,6
3562,0,0.1855,0.8314,0,568,298,4125,-26,7,7
3572,0,0.2640,0.1607,0,601,327,4143,-37,2,9
3582,0,0.3141,-0.3271,0,651,247,4144,-45,-1,8
3592,0,0.3309,-0.3881,0,676,133,4179,-46,2,8
3602,0,0.3408,0.1607,0,727,89,4143,-37,9,8
3612,0,0.3634,0.7704,0,696,114,4147,-27,16,6
3622,0,0.3911,1.3802,0,641,112,4137,-17,20,5
3632,0,0.4426,1.5021,0,636,196,4137,-15,18,7
3642,0,0.4987,1.3802,0,666,223,4178,-17,22,7
3652,0,0.5539,1.2582,0,662,226,4141,-19,22,6
3662,0,0.5999,1.0143,0,617,206,4155,-23,23,6
3672,0,0.6488,0.9534,0,630,222,4154,-24,20,6
3682,0,0.6852,1.0753,0,629,175,4136,-22,20,7
3692,0,0.7139,1.1973,0,632,145,4121,-20,19,7
3702,0,0.7536,1.7460,0,656,167,4117,-11,17,6
3712,0,0.7962,1.6851,0,680,183,4127,-12,23,7
3722,0,0.8419,1.8680,0,657,192,4154,-9,24,5
3732,0,0.8966,1.6241,0,622,237,4154,-13,26,1
3742,0,0.9471,1.3192,0,646,235,4132,-18,25,8
3752,0,1.0014,0.9534,0,623,266,4140,-24,24,8
3762,0,1.0492,0.5875,0,629,261,4168,-30,23,6
3772,0,1.0925,0.2216,0,596,260,4144,-36,24,8
3782,0,1.1341,0.0387,0,600,263,4143,-39,21,8
3792,0,1.1640,-0.5101,0,577,244,4154,-48,17,9
3802,0,1.2087,-0.6930,0,557,303,4108,-51,10,12
3812,0,1.2347,-1.1808,0,566,258,4136,-59,7,11
3822,0,1.2499,-1.3637,0,596,226,4114,-62,2,10
3832,0,1.2543,-1.1808,0,620,184,4167,-59,2,10
3842,0,1.2557,-0.8759,0,695,163,4172,-54,4,8
3852,0,1.2580,-0.6320,0,649,155,4109,-50,6,8
3862,0,1.2642,-0.4491,0,650,163,4113,-47,9,8
3872,0,1.2735,-0.3271,0,652,171,4130,-45,11,7
3882,0,1.2998,-0.2052,0,651,230,4153,-43,8,8
3892,0,1.3305,-0.3881,0,650,253,4127,-46,12,8
3902,0,1.3590,-0.7540,0,596,262,4159,-52,8,8
3912,0,1.3755,-0.9369,0,594,225,4118,-55,1,8
3922,0,1.3823,-0.8759,0,671,189,4123,-54,4,8
3932,0,1.3768,-0.6320,0,638,137,4137,-50,7,8
3942,0,1.3635,0.0997,0,635,83,4153,-38,6,5
3952,0,1.3564,0.8314,0,648,79,4180,-26,7,7
3962,0,1.3660,1.3802,0,683,119,4147,-17,9,2
3972,0,1.3864,1.6851,0,649,147,4130,-12,13,6
3982,0,1.4175,1.6851,0,624,188,4141,-12,12,5
3992,0,1.4569,1.8070,0,663,217,4163,-10,14,7
